304,8,Phường Vĩnh Hưng,105.8752564,20.9879614
307,8,Phường Định Công,105.8291858,20.9826495
310,8,Phường Mai Động,105.8644046,20.9913448
313,8,Phường Tương Mai,105.8501758,20.9879341
316,8,Phường Đại Kim,105.8250742,20.9730903
319,8,Phường Tân Mai,105.8488998,20.9829654
322,8,Phường Hoàng Văn Thụ,105.858834,20.9862731
325,8,Phường Giáp Bát,105.8431539,20.9850298
328,8,Phường Lĩnh Nam,105.8912598,20.9805771
331,8,Phường Thịnh Liệt,105.8502634,20.9759193
334,8,Phường Trần Phú,105.8832556,20.9711195
337,8,Phường Hoàng Liệt,105.8393925,20.962423
340,8,Phường Yên Sở,105.8701509,20.9635712
343,9,Phường Nhân Chính,105.8046282,21.0039313
346,9,Phường Thượng Đình,105.8144297,20.9991481
349,9,Phường Khương Trung,105.8222383,20.9973125
352,9,Phường Khương Mai,105.8290537,20.9971341
355,9,Phường Thanh Xuân Trung,105.8057609,20.9959112
358,9,Phường Phương Liệt,105.8383742,20.9917597
361,9,Phường Hạ Đình,105.8103351,20.9883454
364,9,Phường Khương Đình,105.8197278,20.9899852
367,9,Phường Thanh Xuân Bắc,105.7988214,20.9934307
370,9,Phường Thanh Xuân Nam,105.7997917,20.9870948
373,9,Phường Kim Giang,105.8125988,20.9834763
376,16,Thị trấn Sóc Sơn,105.8519156,21.25757345
379,16,Xã Bắc Sơn,105.8191666,21.36094025
382,16,Xã Minh Trí,105.7627187,21.2974124
385,16,Xã Hồng Kỳ,105.8492677,21.31461335
388,16,Xã Nam Sơn,105.8205502,21.3071051
391,16,Xã Trung Giã,105.8734295,21.31116455
394,16,Xã Tân Hưng,105.8986295,21.297584
397,16,Xã Minh Phú,105.7837639,21.2837707
400,16,Xã Phù Linh,105.8387211,21.27969805
403,16,Xã Bắc Phú,105.9020075,21.27787035
406,16,Xã Tân Minh,105.8737792,21.26826545
409,16,Xã Quang Tiến,105.8160783,21.251104
